0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:01 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:01 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:01 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:02 +0700] "GET /QLTBYT/ListDevice.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:02 +0700] "GET /QLTBYT/SystemError HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:04 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:04 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:04 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:04 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:04 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:04 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:11 +0700] "GET /QLTBYT/jsp/confirm_data_user.jsp HTTP/1.1" 200 8815
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:11 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:11 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:11 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:11 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:11 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:11 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:22 +0700] "GET /QLTBYT/jsp/Login.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:22 +0700] "GET /QLTBYT/jsp/img/logo1.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:56 +0700] "GET /QLTBYT/jsp/sidebar.jsp HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:56 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:56 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:56 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:56 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:58 +0700] "GET /QLTBYT/ViewDetailUser.do?userId= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:58 +0700] "GET /QLTBYT/SystemError?mess=ER013 HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:26:01 +0700] "GET /QLTBYT/ListUser.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:26:01 +0700] "GET /QLTBYT/SystemError HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:26:33 +0700] "GET /QLTBYT/ HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:26:39 +0700] "POST /QLTBYT/Login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:26:39 +0700] "GET /QLTBYT/SystemError HTTP/1.1" 200 1519
